SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,16-01478610,03/08/2016,Front,,Open,WINDOWS FOR ATTIC/BSMNT ON SIDE OF PROP. - GARAGE DOOR IS UNLOCKED,Vacant,false,false,7634,S,VERNON,AVE,60619,1180566.48543234,1854491.47266902,6,6,69,41.75598138864918,-87.61382883413194,"(41.75598138864918, -87.61382883413194)"
Vacant/Abandoned Building,16-01475573,03/08/2016,Front,,Open,,Vacant,false,true,9105,S,WENTWORTH,AVE,60620,1176547.08002401,1844580.41761428,21,6,49,41.72887552732323,-87.62885631147138,"(41.72887552732323, -87.62885631147138)"
Vacant/Abandoned Building,16-01465581,03/08/2016,Front,,Open,,Vacant,false,false,1152,W,104TH,PL,60643,1170486.9066746,1835504.48990323,34,22,73,41.70410378697699,-87.65131947694302,"(41.70410378697699, -87.65131947694302)"
Vacant/Abandoned Building,16-01472833,03/08/2016,,,,,,,,3219,E,92ND,ST,60617,1199137.41518674,1844569.11829491,10,4,46,41.728307372793616,-87.54610451872544,"(41.728307372793616, -87.54610451872544)"
Vacant/Abandoned Building,16-01482683,03/08/2016,Front,,Open,REAR WINDOW,Vacant,false,false,9729,S,HOXIE,AVE,60617,1195071.15777225,1840820.94992102,10,4,51,41.718123140918706,-87.56112288709618,"(41.718123140918706, -87.56112288709618)"
Vacant/Abandoned Building,16-01528138,03/09/2016,Front,,Boarded,,Vacant,false,false,6325,S,CAMPBELL,AVE,60629,1160790.70083271,1862636.74028558,16,8,66,41.77876417856255,-87.68607820828127,"(41.77876417856255, -87.68607820828127)"
Vacant/Abandoned Building,16-01528210,03/09/2016,Front,,Open,FRONT,Vacant,false,true,6327,S,CAMPBELL,AVE,60629,1160791.10083271,1862623.44028558,16,8,66,41.778727673252526,-87.68607710884487,"(41.778727673252526, -87.68607710884487)"
Vacant/Abandoned Building,16-01525314,03/09/2016,Front,,Open,REAR,Vacant,false,true,6017,S,ELIZABETH,ST,60636,1169020.56422049,1864876.60888775,16,7,67,41.78473670186375,-87.65584216573784,"(41.78473670186375, -87.65584216573784)"
Vacant/Abandoned Building,16-01515570,03/09/2016,Front,,Open,FRONT,Vacant,false,false,6721,S,JUSTINE,ST,60636,1167163.54601065,1860075.71510288,16,7,67,41.77160239356257,-87.66278802586744,"(41.77160239356257, -87.66278802586744)"
Vacant/Abandoned Building,16-01518676,03/09/2016,Rear,,Open,,Vacant,false,false,5757,S,UNION,AVE,60621,1172617.01840967,1866699.60922323,20,7,68,41.78966069711036,-87.64260240288704,"(41.78966069711036, -87.64260240288704)"
Vacant/Abandoned Building,16-01543552,03/09/2016,Front,,Open,ALL POINTS & GARAGE,Vacant,false,false,7937,S,MERRILL,AVE,60617,1191910.38408688,1852764.31548159,8,4,46,41.750974061509254,-87.5723126071976,"(41.750974061509254, -87.5723126071976)"
Vacant/Abandoned Building,16-01512567,03/09/2016,Rear,,Open,BACK DOOR AND GARAGE,Vacant,false,true,7117,S,INGLESIDE,AVE,60619,1183788.60999059,1857998.81077973,5,3,69,41.76553131722809,-87.6019113028932,"(41.76553131722809, -87.6019113028932)"
Vacant/Abandoned Building,16-01527853,03/09/2016,Rear,,Open,REAR,Vacant,false,false,8701,S,MARQUETTE,AVE,60617,1195764.12002251,1847807.44998666,7,4,46,41.73727762391817,-87.55835450011567,"(41.73727762391817, -87.55835450011567)"
Vacant/Abandoned Building,16-01526534,03/09/2016,Front,,Open,REAR DOORS/ WINDOWS,Vacant,true,false,8026,S,CHAMPLAIN,AVE,60619,1181958.08988456,1851927.77377736,6,6,44,41.74891427367851,-87.60880808224903,"(41.74891427367851, -87.60880808224903)"
Vacant/Abandoned Building,16-01524949,03/09/2016,Front,,Open,FRONT/REAR,Vacant,false,false,32,S,WHIPPLE,ST,60612,1156165.3937751,1899689.47183176,28,11,27,41.88053572719081,-87.70203684993199,"(41.88053572719081, -87.70203684993199)"
Vacant/Abandoned Building,16-01520101,03/09/2016,Front,,Open,FRONT AND REAR,Vacant,false,true,124,N,WALLER,AVE,60644,1138139.73678425,1900343.4628995,29,15,25,41.88267514216661,-87.76821038792242,"(41.88267514216661, -87.76821038792242)"
Vacant/Abandoned Building,16-01523042,03/09/2016,Front,,Open,,Vacant,false,false,8427,S,ESCANABA,AVE,60617,1196950.20003234,1849652.19009641,10,4,46,41.74231034527498,-87.55394793037287,"(41.74231034527498, -87.55394793037287)"
Vacant/Abandoned Building,16-01527612,03/09/2016,Front,,Open,FRONT WINDOW & DOOR,Vacant,false,true,1848,N,CALIFORNIA,AVE,60647,1157411.61200007,1912183.42997718,1,14,22,41.91479500133859,-87.69712063684875,"(41.91479500133859, -87.69712063684875)"
Vacant/Abandoned Building,16-01515177,03/09/2016,Front,,Boarded,,Vacant,false,false,4917,W,RACE,AVE,60644,1143482.47149455,1903212.77329268,37,15,25,41.890450653462395,-87.74851964827293,"(41.890450653462395, -87.74851964827293)"
Vacant/Abandoned Building,16-01541654,03/09/2016,Front,,Open,,Vacant,true,true,928,N,LECLAIRE,AVE,60651,1142188.77859296,1905696.68946723,37,15,25,41.897290910276105,-87.75320908489596,"(41.897290910276105, -87.75320908489596)"
Vacant/Abandoned Building,16-01571272,03/10/2016,Front,,Open,,Vacant,false,false,4340,W,IOWA,ST,60651,1147170.86991585,1905638.77419991,37,11,23,41.89703808410553,-87.73491181918544,"(41.89703808410553, -87.73491181918544)"
Vacant/Abandoned Building,16-01576370,03/10/2016,Front,,Open,,Vacant,false,false,917,W,59TH,ST,60621,1171133.89208595,1865711.08472378,16,7,68,41.78698064330178,-87.6480694540671,"(41.78698064330178, -87.6480694540671)"
Vacant/Abandoned Building,16-01576410,03/10/2016,Front,,Open,,Vacant,false,false,915,W,59TH,ST,60621,1171155.25830715,1865711.54648051,16,7,68,41.78698144308698,-87.64799110054082,"(41.78698144308698, -87.64799110054082)"
Vacant/Abandoned Building,16-01576475,03/10/2016,Front,,Open,,Vacant,false,false,648,W,62ND,ST,60621,1172992.01358779,1863780.26061795,16,7,68,41.78164140629302,-87.6413135680788,"(41.78164140629302, -87.6413135680788)"
Vacant/Abandoned Building,16-01572256,03/10/2016,Rear,,Open,DOORS AND WINDOWS ARE OPEN,Vacant,false,true,5543,S,JUSTINE,ST,60636,1166955.98011891,1867888.08759696,16,7,67,41.79304495662732,-87.6633257504957,"(41.79304495662732, -87.6633257504957)"
Vacant/Abandoned Building,16-01564623,03/10/2016,Front,,Open,,Vacant,false,false,257,W,61ST,PL,60621,1175502.02613095,1864144.63987049,20,7,68,41.78258550139505,-87.63210041037458,"(41.78258550139505, -87.63210041037458)"
Vacant/Abandoned Building,16-01578703,03/10/2016,Front,,Open,,Vacant,false,true,9014,S,DOBSON,AVE,60619,1184791.96990499,1845426.02208614,8,4,47,41.73100682049745,-87.59862720300237,"(41.73100682049745, -87.59862720300237)"
Vacant/Abandoned Building,16-01580637,03/10/2016,Front,,Open,ALL THE DOORS AND WINDOWS,Vacant,false,false,7944,S,EBERHART,AVE,60619,1180951.77917283,1852441.58411841,6,6,44,41.75034741979887,-87.6124797738744,"(41.75034741979887, -87.6124797738744)"
Vacant/Abandoned Building,16-01577472,03/10/2016,Front,,Open,,Vacant,true,false,146,E,107TH,ST,60628,1179207.88992373,1834053.42957089,9,5,49,41.69992791334414,-87.61942894715388,"(41.69992791334414, -87.61942894715388)"
Vacant/Abandoned Building,16-01578864,03/10/2016,Front,,Open,BASEMENT WINDOWS AND SIDE SIDE.,Vacant,false,false,1226,W,108TH,ST,60643,1170069.16569882,1833164.09992205,34,22,75,41.697690455865924,-87.65291688024858,"(41.697690455865924, -87.65291688024858)"
Vacant/Abandoned Building,16-01579540,03/10/2016,Rear,,Open,,Vacant,false,false,4059,W,CRYSTAL,ST,60651,1149091.68772962,1908028.31868923,37,25,23,41.90355825801219,-87.72779493030374,"(41.90355825801219, -87.72779493030374)"
Vacant/Abandoned Building,16-01574361,03/10/2016,Front,,Boarded,,Vacant,false,false,3324,W,OHIO,ST,60624,1154020.38996702,1903800.28892862,27,11,23,41.891859247848636,-87.7098034605403,"(41.891859247848636, -87.7098034605403)"
Vacant/Abandoned Building,16-01578889,03/10/2016,Front,,Open,"SIDE DOOR, IN THE REAR OF PROP.",Vacant,false,true,1623,W,JULIAN,ST,60622,1165303.23309389,1909895.03011522,2,14,24,41.90835118267098,-87.66819309194979,"(41.90835118267098, -87.66819309194979)"
Vacant/Abandoned Building,16-01614810,03/11/2016,Front,,Open,,Vacant,false,true,1622,W,21ST,PL,60608,1165807.19977378,1889807.48502315,25,12,31,41.853218626565436,-87.66691477670352,"(41.853218626565436, -87.66691477670352)"
Vacant/Abandoned Building,16-01623666,03/11/2016,Rear,,Boarded,NONE,Vacant,false,false,3838,W,79TH,ST,60652,1152053.47012354,1851906.04500592,18,8,70,41.7494934021899,-87.7183911294821,"(41.7494934021899, -87.7183911294821)"
Vacant/Abandoned Building,16-01616648,03/11/2016,Front,,Open,FRONT AND REAR,Vacant,false,true,6119,S,LOOMIS,BLVD,60636,1168044.16588879,1864172.09759628,16,7,67,41.78282449300658,-87.65944229303621,"(41.78282449300658, -87.65944229303621)"
Vacant/Abandoned Building,16-01625960,03/11/2016,Rear,,Open,REAR DOOR,Vacant,true,false,7106,S,YALE,AVE,60621,1175854.23187162,1857850.24673249,6,7,69,41.765305104614825,-87.63099758957381,"(41.765305104614825, -87.63099758957381)"
Vacant/Abandoned Building,16-01628945,03/11/2016,Front,,Open,ALL AROUND,Vacant,false,true,5612,S,OAKLEY,AVE,60636,1162073.55770375,1867443.80992657,15,8,63,41.79192882471173,-87.68124147871818,"(41.79192882471173, -87.68124147871818)"
Vacant/Abandoned Building,16-01618489,03/11/2016,Front,,Open,FRONT DOOR KICKED IN,Vacant,false,true,7700,S,OGLESBY,AVE,60649,1193204.33168965,1854369.12918127,7,4,43,41.75534629611384,-87.56751869054415,"(41.75534629611384, -87.56751869054415)"
Vacant/Abandoned Building,16-01619951,03/11/2016,,,,,,,,5230,W,CONGRESS,PKWY,60644,1141588.99327098,1897181.34208577,29,15,25,41.87393485454655,-87.75562259869196,"(41.87393485454655, -87.75562259869196)"
Vacant/Abandoned Building,16-01669137,03/12/2016,Front,,Open,,Vacant,false,true,8806,S,WABASH,AVE,60619,1178250.49147898,1846623.28430635,9,6,44,41.73444298357735,-87.62255455524549,"(41.73444298357735, -87.62255455524549)"
Vacant/Abandoned Building,16-01671182,03/12/2016,Front,,Open,FRONT WINDOW ON THE 1ST FLOOR,Vacant,true,false,4958,S,KEELER,AVE,60632,1149200.08328573,1871413.66212353,14,8,57,41.80308095819858,-87.7283443549508,"(41.80308095819858, -87.7283443549508)"
Vacant/Abandoned Building,16-01705815,03/13/2016,Front,,Boarded,,Vacant,false,true,2320,W,MONTANA,ST,60647,1160380.05183245,1916174.319833,1,14,22,41.92568534455406,-87.6861043059338,"(41.92568534455406, -87.6861043059338)"
Vacant/Abandoned Building,16-01712946,03/14/2016,Front,,Open,,Vacant,false,false,5220,W,BLOOMINGDALE,AVE,60639,1141215.80651788,1911468.16827824,37,25,25,41.91314650700568,-87.75664021872558,"(41.91314650700568, -87.75664021872558)"
Vacant/Abandoned Building,16-01712241,03/14/2016,Front,,Open,,Vacant,false,false,143,E,KENSINGTON,AVE,60628,1179235.49840283,1828229.02988542,9,5,53,41.683944302278555,-87.61950458899175,"(41.683944302278555, -87.61950458899175)"
Vacant/Abandoned Building,16-01712392,03/14/2016,Front,,Open,,Vacant,true,false,5142,S,WOLCOTT,AVE,60609,1164554.58611512,1870580.73331191,16,9,61,41.800484926987586,-87.67205546402911,"(41.800484926987586, -87.67205546402911)"
Vacant/Abandoned Building,16-01713018,03/14/2016,Front,,Open,FRONT DOOR OPEN,Vacant,false,true,131,E,104TH,PL,60628,1179050.2621821,1835635.9800722,9,5,49,41.704274234397424,-87.61995811243497,"(41.704274234397424, -87.61995811243497)"
Vacant/Abandoned Building,16-01722738,03/14/2016,Front,,Open,FRONT,Vacant,false,false,5014,S,HERMITAGE,AVE,60609,1165526.62297286,1871450.2336255,20,9,61,41.80285036271012,-87.66846602615938,"(41.80285036271012, -87.66846602615938)"
Vacant/Abandoned Building,16-01723208,03/14/2016,Rear,,Open,BACK DOOR,Vacant,false,true,7302,S,LAFAYETTE,AVE,60621,1177095.39519434,1856586.8298994,6,7,69,41.76181024664335,-87.62648642369659,"(41.76181024664335, -87.62648642369659)"
Vacant/Abandoned Building,16-01712895,03/14/2016,Front,,Open,TWO SIDE DOORS ARE OPEN,Vacant,false,true,6315,S,WOLCOTT,AVE,60636,1164769.48059888,1862781.57731751,15,7,67,41.77907852395267,-87.67148756001195,"(41.77907852395267, -87.67148756001195)"
Vacant/Abandoned Building,16-01711661,03/14/2016,Front,,Boarded,,Vacant,false,false,4467,S,ARCHER,AVE,60632,1154862.48912693,1874740.47100424,14,8,58,41.81209892952031,-87.70748862293739,"(41.81209892952031, -87.70748862293739)"
Vacant/Abandoned Building,16-01729379,03/14/2016,Front,,Open,,Vacant,false,false,1106,N,MARSHFIELD,AVE,60622,1165183.69882562,1907697.10651836,1,12,24,41.90232247200828,-87.66869475826692,"(41.90232247200828, -87.66869475826692)"
Vacant/Abandoned Building,16-01709080,03/14/2016,Front,,Boarded,,Vacant,true,true,5009,S,KARLOV,AVE,60632,1149877.96167331,1871063.20621903,14,8,57,41.802106135007705,-87.7258673121773,"(41.802106135007705, -87.7258673121773)"
Vacant/Abandoned Building,16-01727309,03/14/2016,Front,,Open,REAR,Vacant,false,false,3648,N,NORDICA,AVE,60634,1128429.75589324,1923436.88268056,38,16,17,41.94621645511047,-87.80334240539412,"(41.94621645511047, -87.80334240539412)"
Vacant/Abandoned Building,16-01716133,03/14/2016,Front,,Open,FRONT AND BACK DOOR,Vacant,false,true,2623,W,99TH,ST,60655,1160513.61996689,1838891.88140196,19,22,72,41.71361031702789,-87.6877471269749,"(41.71361031702789, -87.6877471269749)"
Vacant/Abandoned Building,16-01725013,03/14/2016,Rear,,Boarded,REAR DOOR IS OPEN,Vacant,false,false,4844,W,RICE,ST,60651,1143904.59771773,1905217.04001536,37,15,25,41.8959426876445,-87.74691907521012,"(41.8959426876445, -87.74691907521012)"
Vacant/Abandoned Building,16-01750861,03/15/2016,Rear,,Open,,Vacant,false,false,2416,E,100TH,ST,60617,1193809.96293277,1839128.36353329,7,4,51,41.713509467278236,-87.5657973432192,"(41.713509467278236, -87.5657973432192)"
Vacant/Abandoned Building,16-01752187,03/15/2016,Front,,Open,,Vacant,false,false,3535,W,SHAKESPEARE,AVE,60647,1152512.60438,1914062.41989288,35,14,22,41.920049427200375,-87.71506927729386,"(41.920049427200375, -87.71506927729386)"
Vacant/Abandoned Building,16-01746652,03/15/2016,Front,,Open,WINDOWS ARE BORKEN OUT,Vacant,false,true,4244,W,WEST END,AVE,60624,1148068.46707507,1900635.47787182,28,11,26,41.883291264197126,-87.73174388462243,"(41.883291264197126, -87.73174388462243)"
Vacant/Abandoned Building,16-01745683,03/15/2016,Front,,Open,,Vacant,false,false,5312,S,MORGAN,ST,60609,1170550.45988467,1869517.99999044,20,9,61,41.79743998734881,-87.65009769914664,"(41.79743998734881, -87.65009769914664)"
Vacant/Abandoned Building,16-01745487,03/15/2016,Front,,Open,,Vacant,false,false,5249,S,PEORIA,ST,60609,1171197.09988108,1870013.7736709,20,9,61,41.79878631585635,-87.64771188332479,"(41.79878631585635, -87.64771188332479)"
Vacant/Abandoned Building,16-01764510,03/15/2016,Rear,,Open,,Vacant,false,true,5037,S,ELIZABETH,ST,60609,1168843.90991796,1871375.38310534,20,9,61,41.80257390573676,-87.65630220441562,"(41.80257390573676, -87.65630220441562)"
Vacant/Abandoned Building,16-01764994,03/15/2016,Front,,Open,"WINDOW, STAND ON FENCE AND CLIMBED THRU WINDOW",Vacant,false,true,7248,S,CRANDON,AVE,60649,1192801.75250179,1857347.67110254,5,3,43,41.7635294745568,-87.5688970133462,"(41.7635294745568, -87.5688970133462)"
Vacant/Abandoned Building,16-01752634,03/15/2016,Rear,,Boarded,,Vacant,true,true,6741,S,EAST END,AVE,60649,1188695.93992369,1860616.09436711,5,3,43,41.772597445237594,-87.58384102871902,"(41.772597445237594, -87.58384102871902)"
Vacant/Abandoned Building,16-01742508,03/15/2016,Front,,Open,ALOT OF GARBAGE - NO FENCE AT THE REAR,Vacant,false,true,4926,W,ADAMS,ST,60644,1143672.34262777,1898881.90038334,28,15,25,41.878562664601155,-87.74793084135777,"(41.878562664601155, -87.74793084135777)"
Vacant/Abandoned Building,16-01763636,03/15/2016,Front,,Boarded,NONE,Vacant,false,false,5623,S,WINCHESTER,AVE,60636,1164317.19178834,1867340.38381535,15,7,67,41.79159801616267,-87.67301734655062,"(41.79159801616267, -87.67301734655062)"
Vacant/Abandoned Building,16-01748123,03/15/2016,Front,,Open,"FRONT AND SIDE DOORS ARE OPEN, AND GARAGE OPEN",Vacant,false,true,5600,S,HONORE,ST,60636,1164974.17456591,1867542.70777737,15,7,67,41.79213934595511,-87.67060259176401,"(41.79213934595511, -87.67060259176401)"
Vacant/Abandoned Building,16-01750095,03/15/2016,Front,,Open,,Vacant,false,false,24,E,100TH,ST,60628,1178245.79542785,1838677.73080531,9,5,49,41.71263946332924,-87.62281201452468,"(41.71263946332924, -87.62281201452468)"
Vacant/Abandoned Building,16-01747010,03/15/2016,Front,,Open,,Vacant,false,false,6020,S,KILDARE,AVE,60629,1148734.60038748,1864337.27521455,13,8,65,41.78367123367606,-87.73023358657301,"(41.78367123367606, -87.73023358657301)"
Vacant/Abandoned Building,16-01791409,03/16/2016,Front,,Open,NXT TO 6414 S GREEN -- BRICKS FELL FROM TOP .. 5 STORY BLDG.. FRONT CITY SIDEWALK,Vacant,false,false,6414,S,GREEN,ST,60621,1171726.399978,1862305.40999596,16,7,68,41.777622101505784,-87.64599681837838,"(41.777622101505784, -87.64599681837838)"
Vacant/Abandoned Building,16-01781450,03/16/2016,Rear,,Open,REAR,Vacant,false,true,6753,S,BISHOP,ST,60636,1167829.4248725,1859959.94357273,16,7,67,41.7712704292916,-87.66035045406572,"(41.7712704292916, -87.66035045406572)"
Vacant/Abandoned Building,16-01787175,03/16/2016,Front,,Open,,Vacant,false,false,6459,S,WOOD,ST,60636,1165450.29612553,1861848.86142371,15,7,67,41.77650462403869,-87.66901803577838,"(41.77650462403869, -87.66901803577838)"
Vacant/Abandoned Building,16-01771424,03/16/2016,Rear,,Boarded,,Vacant,false,true,8519,S,ABERDEEN,ST,60620,1170472.24930811,1848316.08991851,21,6,71,41.73926101767822,-87.65100131372621,"(41.73926101767822, -87.65100131372621)"
Vacant/Abandoned Building,16-01773201,03/16/2016,Front,,Boarded,BOARDS HAVE BEEN REMOVED FROM THE REAR DOOR,Vacant,false,false,6521,S,PEORIA,ST,60621,1171428.02851967,1861598.55397385,6,7,68,41.77568894407166,-87.64711132696607,"(41.77568894407166, -87.64711132696607)"
Vacant/Abandoned Building,16-01775363,03/16/2016,Rear,,Open,REAR,Vacant,false,true,7252,S,MAY,ST,60621,1169906.86261758,1856707.50437908,6,7,68,41.76230046551271,-87.6528296256806,"(41.76230046551271, -87.6528296256806)"
Vacant/Abandoned Building,16-01781745,03/16/2016,Front,,Boarded,PROEPRTY NEEDS TO BE SECURED -- NEEDS A FENCE,Vacant,false,true,1449,N,MAYFIELD,AVE,60651,1136755.28342368,1909036.99082283,29,25,25,41.90655619551688,-87.77308577302703,"(41.90655619551688, -87.77308577302703)"
Vacant/Abandoned Building,16-01791609,03/16/2016,Front,,Open,FRONT,Vacant,false,false,3527,W,CARROLL,AVE,60624,1152806.58770314,1902172.03251269,28,11,27,41.88741526629639,-87.71430438118445,"(41.88741526629639, -87.71430438118445)"
Vacant/Abandoned Building,16-01776420,03/16/2016,Front,,Open,FRONT,Vacant,false,false,1551,S,SAWYER,AVE,60623,1154949.5360074,1892182.16008637,24,10,29,41.85995932314986,-87.70670261839317,"(41.85995932314986, -87.70670261839317)"
Vacant/Abandoned Building,16-01787897,03/16/2016,Rear,,Open,SENIOR LIVES AT 10602 S LA SALLE,Vacant,false,true,10601,S,LA SALLE,ST,60628,1177153.44669023,1834616.65918671,34,5,49,41.70151998138077,-87.62693451839625,"(41.70151998138077, -87.62693451839625)"
Vacant/Abandoned Building,16-01783737,03/16/2016,Rear,,Open,,Vacant,false,true,12036,S,INDIANA,AVE,60628,1179743.86068288,1825091.56056998,9,5,53,41.6753230501691,-87.6177390389161,"(41.6753230501691, -87.6177390389161)"
Vacant/Abandoned Building,16-01781227,03/16/2016,,,,,,,,2916,N,NEW ENGLAND,AVE,60634,1129917.61992281,1918617.4645915,36,25,18,41.93296603117986,-87.79798401879398,"(41.93296603117986, -87.79798401879398)"
Vacant/Abandoned Building,16-01809490,03/17/2016,Front,,Open,,Vacant,false,false,7038,S,NORMAL,BLVD,60621,1174167.96431373,1858247.68502664,6,7,68,41.76643333909044,-87.6371664631679,"(41.76643333909044, -87.6371664631679)"
Vacant/Abandoned Building,16-01806141,03/17/2016,Front,,Open,,Vacant,false,false,20,E,91ST,ST,60619,1178087.88448503,1844658.40640246,9,6,44,41.72905479507996,-87.62320966011136,"(41.72905479507996, -87.62320966011136)"
Vacant/Abandoned Building,16-01807489,03/17/2016,Rear,,Open,REAR,Vacant,false,true,1843,S,SPRINGFIELD,AVE,60623,1150688.26322401,1890774.97217199,24,10,29,41.85618211022127,-87.7223814553191,"(41.85618211022127, -87.7223814553191)"
Vacant/Abandoned Building,16-01801647,03/17/2016,Front,,Open,FRONT,Vacant,false,false,6243,S,RACINE,AVE,60636,1169390.48822434,1863385.70080895,16,7,68,41.780637465369345,-87.6545290240337,"(41.780637465369345, -87.6545290240337)"
Vacant/Abandoned Building,16-01796767,03/17/2016,Front,,Open,ALL THE WINDOWS,Vacant,false,false,135,E,103RD,PL,60628,1179103.73328105,1836380.93892362,9,5,49,41.70631728740579,-87.61973970674656,"(41.70631728740579, -87.61973970674656)"
Vacant/Abandoned Building,16-01799675,03/17/2016,Rear,,Open,,Vacant,false,true,2117,W,51ST,ST,60609,1163045.2086301,1870827.9585299,16,9,61,41.80119507473792,-87.67758392849743,"(41.80119507473792, -87.67758392849743)"
Vacant/Abandoned Building,16-01809255,03/17/2016,Rear,,Open,REAR,Vacant,false,false,4758,S,MARSHFIELD,AVE,60609,1166143.91683084,1873111.52727674,20,9,61,41.80739601879289,-87.66615483352413,"(41.80739601879289, -87.66615483352413)"
Vacant/Abandoned Building,16-01796833,03/17/2016,Front,,Open,FRONT AND REAR WITH BROKEN WINDOWS,Vacant,true,false,6835,S,GREEN,ST,60621,1171815.43462127,1859525.7499898,6,7,68,41.76999243106934,-87.64575188877157,"(41.76999243106934, -87.64575188877157)"
Vacant/Abandoned Building,16-01809796,03/17/2016,Front,,Open,,Vacant,false,false,2133,E,96TH,ST,60617,1191863.61001433,1841722.46111435,7,4,51,41.720675325305116,-87.57284154530282,"(41.720675325305116, -87.57284154530282)"
Vacant/Abandoned Building,16-01810047,03/17/2016,,,,,,,,2914,E,78TH,PL,60649,1197302.33939926,1853442.38947748,7,4,43,41.75270217412828,-87.55253170436538,"(41.75270217412828, -87.55253170436538)"
Vacant/Abandoned Building,16-01811282,03/17/2016,Rear,,Open,BACK DOOR,Vacant,false,false,9122,S,WOODLAWN,AVE,60619,1185804.93997973,1844742.53998662,8,4,47,41.72910748359699,-87.5949378583769,"(41.72910748359699, -87.5949378583769)"
Vacant/Abandoned Building,16-01800240,03/17/2016,,,,,,,,6812,S,HARPER,AVE,60637,1187560.25012037,1860074.33658902,5,3,43,41.771137899490554,-87.5880213008958,"(41.771137899490554, -87.5880213008958)"
Vacant/Abandoned Building,16-01799511,03/17/2016,Front,,Open,,Vacant,false,false,2414,W,34TH,PL,60608,1160849.59539617,1881740.37980569,12,9,59,41.83118575821436,-87.68533427091978,"(41.83118575821436, -87.68533427091978)"
Vacant/Abandoned Building,16-01805492,03/17/2016,Rear,,Open,DOOR IS NOT SECURE AND PEOPLE ARE MOVING BOARDS GOING INSIDE BLDG,Vacant,false,true,4946,W,GLADYS,AVE,60644,1143603.27319456,1897889.57418951,29,15,25,41.875840891147966,-87.74820929323343,"(41.875840891147966, -87.74820929323343)"
Vacant/Abandoned Building,16-01824386,03/18/2016,Front,,Open,,Vacant,false,false,847,E,78TH,ST,60619,1183328.22818484,1853474.67121234,8,6,69,41.75312735288112,-87.6037393686167,"(41.75312735288112, -87.6037393686167)"
Vacant/Abandoned Building,16-01833291,03/18/2016,Front,,Open,,Vacant,false,false,4456,W,28TH,ST,60623,1147062.34301336,1885005.3720672,22,10,30,41.8404195955118,-87.73583791065866,"(41.8404195955118, -87.73583791065866)"
Vacant/Abandoned Building,16-01831442,03/18/2016,Front,,Boarded,REAR,Vacant,false,true,7934,S,LOWE,AVE,60620,1173344.76387504,1852277.37193226,17,6,71,41.75006830903179,-87.6403600661746,"(41.75006830903179, -87.6403600661746)"
Vacant/Abandoned Building,16-01831128,03/18/2016,,,,,,,,1319,E,69TH,ST,60637,1186075.88999645,1859609.85001618,5,3,69,41.769898476409324,-87.59347700239258,"(41.769898476409324, -87.59347700239258)"
Vacant/Abandoned Building,16-01830884,03/18/2016,Rear,,Open,BACK WINDOW BY THE PORCH IS NOT BOARDED,Vacant,false,true,8807,S,ABERDEEN,ST,60620,1170525.91909459,1846377.8255819,21,22,71,41.73394098202045,-87.65086099079133,"(41.73394098202045, -87.65086099079133)"
Vacant/Abandoned Building,16-01833823,03/18/2016,Rear,,Open,UNKNOWN,Vacant,false,false,7923,S,ELIZABETH,ST,60620,1169367.861025,1852172.398925,21,6,71,41.749867219355416,-87.65493621128994,"(41.749867219355416, -87.65493621128994)"
Vacant/Abandoned Building,16-01824849,03/18/2016,Rear,,Open,,Vacant,false,true,1133,W,111TH,PL,60643,1170758.64621268,1830859.65997425,34,22,75,41.69135173037422,-87.65045926639972,"(41.69135173037422, -87.65045926639972)"
Vacant/Abandoned Building,16-01828642,03/18/2016,Front,,Open,FRONT/REAR DOORS/WINDOWS,Vacant,false,false,2838,N,CHRISTIANA,AVE,60618,1153562.90000824,1918678.1904696,35,14,21,41.93269463456143,-87.71108722026149,"(41.93269463456143, -87.71108722026149)"
Vacant/Abandoned Building,16-01835189,03/18/2016,Front,,Open,BACK DOOR AND GARAGE,Vacant,false,false,4225,N,RIDGEWAY,AVE,60618,1150634.5723841,1927820.77412563,35,17,16,41.95784041195645,-87.72160881146526,"(41.95784041195645, -87.72160881146526)"
Vacant/Abandoned Building,16-01837209,03/18/2016,Rear,,Open,REAR AND SIDE,Vacant,false,true,727,N,HAMLIN,AVE,60624,1150925.1139027,1904587.33352399,27,11,23,41.89408013981976,-87.72115048384599,"(41.89408013981976, -87.72115048384599)"
Vacant/Abandoned Building,16-01837212,03/18/2016,Rear,,Open,REAR AND SIDE,Vacant,false,true,727,N,HAMLIN,AVE,60624,1150925.1139027,1904587.33352399,27,11,23,41.89408013981976,-87.72115048384599,"(41.89408013981976, -87.72115048384599)"
